cms,name,url
qolt-2,QoLT Center,https://www.cmu.edu/qolt
rci-2,Remaking Cities Institute,https://www.cmu.edu/rci
relationships-lab-2,Relationships Lab,https://www.cmu.edu/dietrich/psychology/relationships-lab
renlab,Ren Lab,https://www.cmu.edu/bme/renlab
research-brain-2,BrainHub,https://www.cmu.edu/research/brain
research-compliance-2,Office of Research Integrity and Compliance,https://www.cmu.edu/research-compliance
research-office-2,Office of the Vice President for Research,https://www.cmu.edu/research-office
risk-operations,Risk Operations,http://www.cmu.edu/risk-operations
roboticsacademy,Carnegie Mellon Robotics Academy,https://www.cmu.edu/roboticsacademy
robotutor-2,RoboTutor,https://www.cmu.edu/scs/robotutor
scs4all,SCS4ALL,https://www.cmu.edu/scs/scs4all
seen,SEEN,https://www.cmu.edu/seen
setchange-2,SETChange,https://www.cmu.edu/SETChange
shs-2,Science and Humanities Scholars Program,https://www.cmu.edu/shs
simon-4,The Simon Initiative,https://www.cmu.edu/simon
software-engineering-3,Master of Software Engineering Programs,https://mse.isri.cmu.edu
sparcs-2,Sponsored Programs and Research Compliance System (SPARCS),https://www.cmu.edu/research-office/sparcs
staff-council-2,Staff Council,https://www.cmu.edu/staff-council
standard-v5.3,CMU Design v5.3,https://www.cmu.edu/common/standard-v5.3
steinbrenner-2,Steinbrenner Institute for Environmental Education and Research,https://www.cmu.edu/steinbrenner
strategic-plan-4,Strategic Plan 2025,https://www.cmu.edu/strategic-plan
stuco-2,StuCo,https://www.cmu.edu/stuco
student-affairs,Student Affairs,https://www.cmu.edu/student-affairs
student-diversity,Center for Student Diversity and Inclusion,https://www.cmu.edu/student-diversity
student-gov-2,Student Government,https://www.cmu.edu/stugov
student-success,Student Academic Success Center,https://www.cmu.edu/student-success
studyabroad-2,Study Abroad,https://www.cmu.edu/studyabroad
summer-2,Summer Studies,https://www.cmu.edu/summer
swartz-center,Swartz Center for Entrepreneurship,https://www.cmu.edu/swartz-center-for-entrepreneurship
syllabusregistry,Syllabus Registry,http://www.cmu.edu/syllabusregistry
tartanink-2,Office of Tartan Ink,https://www.cmu.edu/tartanink
task-force,Task Force on the CMU Experience,https://www.cmu.edu/cmuexp-taskforce
